 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
17.99316, 0.2204792, 0.002737236, 0.01905791, 0.003503141, 0.007163841, 0.02543413, 0.01307395
18.093122, 0.2187766, 0.002565403, 0.01791801, 0.003342735, 0.006799559, 0.02732046, 0.01219915
18.193084, 0.2181054, 0.002404357, 0.01684628, 0.003189674, 0.0064538, 0.02677337, 0.01138289
18.293046, 0.2258147, 0.002253421, 0.01583866, 0.003043622, 0.006125623, 0.03294458, 0.01062124
18.393008, 0.2177387, 0.00211196, 0.01489131, 0.002904257, 0.005814135, 0.03128546, 0.01185588
18.49297, 0.2084554, 0.001979379, 0.01400062, 0.002771273, 0.005518485, 0.02970989, 0.01106259
18.592932, 0.2040808, 0.001855121, 0.0131632, 0.002644379, 0.005237869, 0.03892009, 0.01032237
18.692894, 0.1953798, 0.001738664, 0.01237588, 0.002523295, 0.004971522, 0.04047133, 0.009631683
18.792856, 0.1947544, 0.001629517, 0.01163564, 0.002407755, 0.00471872, 0.04118696, 0.008987212
18.892818, 0.1946453, 0.001527222, 0.01093968, 0.002297506, 0.004478772, 0.04668574, 0.008385862
18.99278, 0.1888792, 0.001431349, 0.01028535, 0.002192305, 0.004251026, 0.04433459, 0.007824751
19.092742, 0.1808262, 0.001341495, 0.009670154, 0.002091921, 0.004034861, 0.04210186, 0.007301184
19.192704, 0.1777438, 0.001257281, 0.009091756, 0.001996134, 0.003829687, 0.04545792, 0.009109174
19.292666, 0.1793196, 0.001178354, 0.008547952, 0.001904733, 0.003634947, 0.0457803, 0.008499664
19.392628, 0.1745319, 0.001104381, 0.008036677, 0.001817516, 0.003450109, 0.04479327, 0.007930938
19.49259, 0.1674822, 0.001035052, 0.007555981, 0.001734294, 0.003274671, 0.05149934, 0.01099007
19.592552, 0.1774418, 0.0009700757, 0.007104037, 0.001654882, 0.003108153, 0.05791219, 0.01025471
