Time(s),Lick,ArtSal,Chocolate,Quinine,NaCl,Sucrose,Peanut,Acid
514.225,0,0,0,0,0,0,0,0
566.717,1,0,0,0,0,0,0,1
566.727,0,0,0,0,0,0,0,0
566.8602,1,0,0,0,0,0,0,1
566.87,0,0,0,0,0,0,0,0
566.983,1,0,0,0,0,0,0,1
566.993,0,0,0,0,0,0,0,0
567.129,1,0,0,0,0,0,0,1
567.139,0,0,0,0,0,0,0,0
569.2242,1,0,0,0,0,0,0,0
569.234,0,0,0,0,0,0,0,0
569.3432,1,0,0,0,0,0,0,0
569.353,0,0,0,0,0,0,0,0
569.4942,1,0,0,0,0,0,0,0
569.504,0,0,0,0,0,0,0,0
569.7582,1,1,0,0,0,0,0,0
569.768,0,0,0,0,0,0,0,0
570.0462,1,0,0,0,0,0,0,0
570.056,0,0,0,0,0,0,0,0
570.2212,1,0,0,0,0,0,0,0
570.231,0,0,0,0,0,0,0,0
570.3582,1,0,0,0,0,0,0,0
570.368,0,0,0,0,0,0,0,0
570.5032,1,1,0,0,0,0,0,0
570.513,0,0,0,0,0,0,0,0
570.6612,1,0,0,0,0,0,0,0
570.671,0,0,0,0,0,0,0,0
570.7932,1,0,0,0,0,0,0,0
570.803,0,0,0,0,0,0,0,0
570.9542,1,0,0,0,0,0,0,0
570.964,0,0,0,0,0,0,0,0
571.0922,1,1,0,0,0,0,0,0
571.102,0,0,0,0,0,0,0,0
571.4022,1,0,0,0,0,0,0,0
571.412,0,0,0,0,0,0,0,0
571.5742,1,0,0,0,0,0,0,0
571.584,0,0,0,0,0,0,0,0
571.7192,1,0,0,0,0,0,0,0
571.729,0,0,0,0,0,0,0,0
571.8522,1,0,0,0,0,0,0,0
571.862,0,0,0,0,0,0,0,0
572.0152,1,1,0,0,0,0,0,0
572.025,0,0,0,0,0,0,0,0
572.2892,1,0,0,0,0,0,0,0
572.299,0,0,0,0,0,0,0,0
572.4682,1,0,0,0,0,0,0,0
572.478,0,0,0,0,0,0,0,0
572.6122,1,0,0,0,0,0,0,0
572.622,0,0,0,0,0,0,0,0
572.7542,1,0,0,0,0,0,0,0
572.764,0,0,0,0,0,0,0,0
572.8882,1,1,0,0,0,0,0,0
572.898,0,0,0,0,0,0,0,0
573.2122,1,0,0,0,0,0,0,0
573.222,0,0,0,0,0,0,0,0
573.3942,1,0,0,0,0,0,0,0
573.404,0,0,0,0,0,0,0,0
573.5432,1,0,0,0,0,0,0,0
573.553,0,0,0,0,0,0,0,0
573.7242,1,0,0,0,0,0,0,0
573.734,0,0,0,0,0,0,0,0
573.8692,1,0,0,0,0,0,0,0
573.879,0,0,0,0,0,0,0,0
574.0382,1,1,0,0,0,0,0,0
574.048,0,0,0,0,0,0,0,0
574.2252,1,0,0,0,0,0,0,0
574.235,0,0,0,0,0,0,0,0
574.3702,1,0,0,0,0,0,0,0
574.38,0,0,0,0,0,0,0,0
574.5392,1,0,0,0,0,0,0,0
574.549,0,0,0,0,0,0,0,0
574.6892,1,0,0,0,0,0,0,0
574.699,0,0,0,0,0,0,0,0
574.8252,1,0,0,0,0,0,0,0
574.835,0,0,0,0,0,0,0,0
575.0002,1,1,0,0,0,0,0,0
575.01,0,0,0,0,0,0,0,0
575.1572,1,0,0,0,0,0,0,0
575.167,0,0,0,0,0,0,0,0
575.2942,1,0,0,0,0,0,0,0
575.304,0,0,0,0,0,0,0,0
575.4382,1,0,0,0,0,0,0,0
575.448,0,0,0,0,0,0,0,0
575.5902,1,1,0,0,0,0,0,0
575.6,0,0,0,0,0,0,0,0
575.7742,1,0,0,0,0,0,0,0
575.784,0,0,0,0,0,0,0,0
575.9452,1,0,0,0,0,0,0,0
575.955,0,0,0,0,0,0,0,0
576.1172,1,0,0,0,0,0,0,0
576.127,0,0,0,0,0,0,0,0
576.2492,1,1,0,0,0,0,0,0
576.259,0,0,0,0,0,0,0,0
576.4272,1,0,0,0,0,0,0,0
576.437,0,0,0,0,0,0,0,0
576.6214,1,0,0,0,0,0,0,0
576.631,0,0,0,0,0,0,0,0
576.7712,1,0,0,0,0,0,0,0
576.781,0,0,0,0,0,0,0,0
576.9282,1,1,0,0,0,0,0,0
576.938,0,0,0,0,0,0,0,0
577.1052,1,0,0,0,0,0,0,0
577.115,0,0,0,0,0,0,0,0
577.2724,1,0,0,0,0,0,0,0
577.282,0,0,0,0,0,0,0,0
577.4362,1,0,0,0,0,0,0,0
577.446,0,0,0,0,0,0,0,0
577.6032,1,0,0,0,0,0,0,0
577.613,0,0,0,0,0,0,0,0
577.7742,1,0,0,0,0,1,0,0
577.784,0,0,0,0,0,0,0,0
577.9394,1,0,0,0,0,1,0,0
577.949,0,0,0,0,0,0,0,0
578.0764,1,0,0,0,0,1,0,0
578.086,0,0,0,0,0,0,0,0
578.5514,1,0,0,0,0,1,0,0
578.561,0,0,0,0,0,0,0,0
578.7084,1,0,0,0,0,1,0,0
578.718,0,0,0,0,0,0,0,0
578.8564,1,0,0,0,0,1,0,0
578.866,0,0,0,0,0,0,0,0
579.0034,1,0,0,0,0,1,0,0
579.013,0,0,0,0,0,0,0,0
579.1474,1,0,0,0,0,1,0,0
579.157,0,0,0,0,0,0,0,0
579.6054,1,0,0,0,0,1,0,0
579.615,0,0,0,0,0,0,0,0
579.7614,1,0,0,0,0,1,0,0
579.771,0,0,0,0,0,0,0,0
579.9104,1,0,0,0,0,0,0,0
579.92,0,0,0,0,0,0,0,0
580.0584,1,0,0,0,0,0,0,0
580.068,0,0,0,0,0,0,0,0
580.2122,1,0,0,0,0,0,0,0
580.222,0,0,0,0,0,0,0,0
