 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
11.195744, 9.57074, 1.048357, 1.148434, 2.874514, 2.38765, 0.3546279, 2.184529, 0.7557924, 1.661686, 7.795401, 0.9055087, 2.1255, 1.723233
11.295706, 9.161328, 1.001135, 1.091251, 2.71903, 2.271463, 0.3371276, 2.090212, 0.7193156, 1.574214, 7.419622, 0.8518379, 2.01149, 1.63885
11.395668, 8.769431, 0.9560406, 1.036916, 5.128849, 2.160929, 0.3204908, 1.999968, 0.6845994, 1.491347, 7.061957, 0.8013483, 1.903595, 1.558599
11.49563, 8.394299, 0.9129772, 0.9852861, 4.851427, 2.055775, 0.3046751, 1.913619, 0.6515586, 1.412842, 6.721534, 0.7538512, 1.801488, 1.482278
11.595592, 8.035213, 0.8718536, 0.936227, 6.217326, 8.274272, 0.2896399, 1.837116, 0.6201125, 1.338469, 6.397521, 0.7091693, 1.704857, 1.409694
11.695554, 18.32356, 0.8325824, 1.862538, 6.899828, 7.871632, 0.2753466, 1.757799, 2.517588, 1.268012, 6.089128, 0.6671358, 3.802059, 1.340665
11.795516, 33.78493, 0.79508, 1.769799, 8.400469, 7.488584, 0.2617587, 1.681906, 3.921604, 1.201263, 5.7956, 0.6275938, 4.310357, 1.275015
11.895478, 32.33971, 0.7592669, 3.599499, 9.264723, 7.124176, 0.2488413, 1.60929, 3.732336, 1.138028, 5.516222, 0.5903953, 4.079153, 1.212581
11.99544, 52.07373, 0.725067, 7.349548, 9.437568, 6.777501, 0.2365613, 1.539809, 3.552203, 1.078122, 9.723299, 0.5554017, 4.939414, 1.153203
12.095402, 53.75013, 0.6924075, 8.097525, 8.927084, 6.447696, 0.2248874, 1.473328, 3.380763, 1.021369, 12.22422, 0.5224823, 4.674468, 1.096733
12.195364, 51.45084, 0.6612191, 7.694335, 8.444214, 6.13394, 0.2137895, 1.409717, 3.217598, 0.9676035, 13.40544, 0.491514, 4.423733, 1.043029
12.295326, 49.24992, 0.6314356, 7.311221, 7.987462, 5.835452, 0.2032394, 1.829282, 3.062307, 0.9166685, 12.75923, 0.4623812, 4.186448, 0.991954
12.395288, 47.14314, 0.6029935, 6.947182, 7.555415, 5.551488, 0.1932098, 1.750303, 2.914511, 0.8684146, 13.0232, 0.4349752, 3.96189, 0.9433802
12.49525, 55.49391, 0.5758327, 6.60127, 7.146739, 5.281343, 0.1836752, 1.674734, 2.773849, 0.8227009, 12.39542, 0.4091936, 3.749377, 0.897185
12.595212, 58.25683, 0.5498952, 6.272581, 6.760167, 5.024343, 0.1746111, 1.602427, 2.639975, 0.7793935, 11.79789, 0.3849401, 4.865617, 0.8532518
12.695174, 55.76476, 0.5251261, 5.960258, 6.394506, 4.77985, 0.1659943, 1.533242, 2.512562, 0.7383659, 12.82886, 0.3621242, 5.002912, 0.81147
