 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
11.7578, 0.144547, -0.0001079122, 0.00292722, -0.01922376, -0.01778508, 0.02215633, 0.002372685
11.816589, 0.1403481, 0.0003015514, 0.002904843, -0.01242873, -0.0184048, 0.02400333, -0.003454668
11.875378, 0.1409705, 0.001627411, -0.001216353, -0.01520653, -0.01934091, 0.01524493, -0.0006611744
11.934167, 0.1371543, -0.0003408956, 0.0006283954, -0.01843543, -0.01574948, 0.01859575, 0.002089317
11.992956, 0.1327405, 0.0001857672, 0.001294296, -0.01684025, -0.01874539, 0.0210173, 0.0004897402
12.051745, 0.1374108, 0.003584664, -0.0008719676, -0.01716462, -0.01135305, 0.02330893, -0.002016089
12.110534, 0.1436447, 0.002145486, -0.004706793, -0.01990386, -0.009785819, 0.02315366, 0.0003294867
12.169323, 0.1499543, 0.001775158, -0.00120874, -0.01824602, -0.01377593, 0.02732824, -0.0009560952
12.228112, 0.1503021, 0.001396665, -0.0002364175, -0.01747349, -0.01476781, 0.03081174, -0.004513004
12.286901, 0.1544009, 0.0007598461, -0.002855856, -0.01371906, -0.01614007, 0.02508614, -0.007340526
12.34569, 0.15948, 0.001493416, 0.0001420121, -0.01854667, -0.01859229, 0.02465017, -0.0002685467
12.404479, 0.1586395, 0.001183425, -0.004149852, -0.01775754, -0.01829338, 0.02231595, -0.006018538
12.463268, 0.1649587, 0.0007140328, -0.002477754, -0.01887667, -0.01325712, 0.02882166, -0.009318616
12.522057, 0.1672368, 0.0002038818, -0.004570512, -0.01702625, -0.01644328, 0.02720961, -0.001334169
12.580846, 0.1615165, 0.001495391, 0.001743259, -0.02008619, -0.01450427, 0.02730809, -0.007653452
12.639635, 0.1605181, 0.002531853, 0.004389895, -0.01918593, -0.0188695, 0.02770047, 0.00163283
12.698424, 0.1571255, 0.001004557, 0.004681066, -0.02159029, -0.01354179, 0.03248581, 0.002200348
12.757213, 0.1546025, 0.001897925, 0.007738012, -0.01930784, -0.01401823, 0.02801359, 0.01219243
12.816002, 0.1543767, 0.0008767376, -0.00112082, -0.01871241, -0.01718481, 0.03094646, 0.02036173
12.874791, 0.1478146, 0.002888539, 0.002794475, -0.01990153, -0.01958423, 0.03450785, 0.01300097
12.93358, 0.1436552, -0.002256281, -0.000340911, -0.01580306, -0.01335494, 0.02716236, 0.02084618
12.992369, 0.1288836, -1.007941e-05, -0.002018102, -0.02278792, -0.01759294, 0.02961513, 0.01350708
13.051158, 0.1403967, 0.002118323, -0.001547939, -0.02180671, -0.01699193, 0.02949386, 0.01982167
13.109947, 0.1305659, 0.0014204, -0.002443572, -0.01586987, -0.01274925, 0.02183513, 0.02252842
13.168736, 0.1352589, 0.003524553, -0.006278118, -0.02037666, -0.01765788, 0.0341164, 0.02030083
13.227525, 0.1259381, 0.001228786, -0.001319066, -0.02469933, -0.02208317, 0.01877142, 0.01356843
13.286314, 0.1259645, 0.002984536, 0.001536664, -0.01640923, -0.01688046, 0.01980886, 0.02676312
13.345103, 0.1392064, 0.0019154, -0.002118994, -0.01943569, -0.01413075, 0.04160485, 0.01903868
13.403892, 0.1288466, -0.000899101, 0.003315362, -0.01585615, -0.02087142, 0.02933118, 0.0224946
13.462681, 0.1293799, 0.002763787, 9.114412e-05, -0.02217944, -0.01455681, 0.03024507, 0.01857998
13.52147, 0.1263823, 0.001412011, 0.001506044, -0.02101516, -0.01848334, 0.03655956, 0.01571928
13.580259, 0.1206509, 0.0005838822, 0.004425315, -0.01946978, -0.01663996, 0.03082487, 0.01793772
13.639048, 0.1154626, 0.001386725, 4.284002e-05, -0.01879207, -0.01601627, 0.04769883, 0.01494375
13.697837, 0.1118664, 0.0003981812, 0.002302099, -0.01910772, -0.02464034, 0.04449789, 0.0148265
13.756626, 0.1143294, 0.0003869233, 0.003072057, -0.01957278, -0.01501205, 0.03300866, 0.01536736
13.815415, 0.1128137, 0.000413319, 0.003082321, -0.02177855, -0.01651331, 0.05166264, 0.01005182
13.874204, 0.1011214, 0.002414429, 0.002589892, -0.01641294, -0.02208376, 0.03118939, 0.01085551
13.932993, 0.1061448, 0.001081163, 0.0010908, -0.02045076, -0.01824693, 0.03897088, 0.01950388
13.991782, 0.1084567, 0.001513168, -0.001116478, -0.02108518, -0.01375643, 0.04257922, 0.02251449
14.050571, 0.1038969, 0.001347124, 0.003167976, -0.0163788, -0.01593257, 0.02613288, 0.01950936
14.10936, 0.1040716, 0.003091427, -0.0008676345, -0.02116171, -0.01691567, 0.03286451, 0.02368721
14.168149, 0.1001651, 0.00227733, -0.003760861, -0.02406959, -0.0117684, 0.05217857, 0.007774236
14.226938, 0.09601571, 0.001469357, -0.00212118, -0.01751576, -0.01651646, 0.02689243, 0.01101324
14.285727, 0.09319525, 0.003014272, -0.003031163, -0.01929305, -0.01292129, 0.04143061, 0.01349266
14.344516, 0.09803742, 0.002643188, -0.004392808, -0.02114266, -0.01397951, 0.05099638, 0.003798974
14.403305, 0.09399131, -0.0004569405, 0.0003849653, -0.02240028, -0.01714187, 0.0223984, 0.01468956
14.462094, 0.09386259, 0.0004592129, -0.0003110887, -0.02189156, -0.01040254, 0.03868699, 0.01184809
14.520883, 0.1044964, 0.0005056711, -0.0008253442, -0.01607047, -0.01663215, 0.04661289, 0.01272172
