 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
10.695934, -0.00811545, -0.01709574, -0.008978084, 0.002722923, -0.01467125, -0.001433215, -0.01297979, -0.01740124, 0.01597241, -0.005997208, -0.009460241, -0.01094743
10.795896, -0.00956969, -0.01909664, -0.01421577, 0.00552573, -0.01650625, -0.0002569002, -0.01482401, -0.02110136, 0.02533172, -0.01170367, -0.008736564, -0.01142131
10.895858, -0.01010606, -0.01665942, -0.01254487, 0.003181271, -0.01215053, -0.003734542, -0.01077988, -0.01693594, 0.0291895, -0.01095468, -0.01032321, -0.01155919
10.99582, -0.005262269, -0.01610064, -0.01362999, 0.005113775, -0.01667788, -0.001359297, -0.009434402, -0.01748453, 0.02659312, -0.008734178, -0.01090913, -0.01415504
11.095782, -0.002140752, -0.01301471, -0.004989272, 0.007670733, -0.01559166, -0.005334551, -0.00970509, -0.02652528, 0.01918406, -0.007750274, -0.006387878, -0.0123211
11.195744, -0.003373709, -0.01515551, -0.002354309, 0.009898827, -0.008150488, -0.004169156, -0.01336514, -0.02135922, 0.0197297, -0.01027945, -0.006320298, -0.01124037
11.295706, -0.007645754, -0.01570965, 0.002716707, 0.008960095, -0.01427673, -0.0121599, -0.0133512, -0.02119049, 0.01745886, -0.006090339, -0.006189474, -0.009744754
11.395668, -0.00706188, -0.01305509, 0.00767072, 0.01094026, -0.007862829, -0.01755112, -0.01603261, -0.02164888, 0.01075841, -0.01156885, -0.004768865, -0.007475801
11.49563, -0.006269425, -0.01758103, 0.001049537, 0.0113565, -0.01060527, -0.01244191, -0.01449437, -0.02430257, 0.01696751, -0.007966829, -0.004454556, -0.009377458
11.595592, -0.007424054, -0.01748879, -0.003766331, 0.00630884, -0.01214703, -0.008984183, -0.012014, -0.01959467, 0.0251199, -0.009356638, -0.005885589, -0.0122823
11.695554, -0.007831143, -0.01430468, -0.01125694, 0.006906403, -0.01526865, -0.008454101, -0.01102643, -0.01644321, 0.02436228, -0.007959013, -0.009467062, -0.01192983
11.795516, -0.006862519, -0.01723156, -0.007966049, 0.005217821, -0.01065198, -0.007936718, -0.009226082, -0.02203326, 0.02319477, -0.009211635, -0.00599291, -0.01305193
11.895478, -0.008572366, -0.01793435, -0.01058606, 0.002772116, -0.01577141, -0.01087809, -0.006774707, -0.01832031, 0.0231389, -0.0123034, -0.008396029, -0.01288855
11.99544, -0.007891979, -0.02284718, -0.004322073, 0.00594071, -0.01598655, -0.01158298, -0.01240181, -0.0162296, 0.01848119, -0.006642634, -0.005826684, -0.01129299
12.095402, -0.007496338, -0.01977915, -0.01627782, 0.001211252, -0.01608039, -0.01469609, -0.01028812, -0.01979874, 0.01867153, -0.01365118, -0.008564968, -0.0148022
12.195364, -0.01018507, -0.01585477, -0.01656038, 0.0008212795, -0.01690585, -0.01325712, -0.008968022, -0.01575477, 0.02143163, -0.01165452, -0.01063424, -0.01341368
12.295326, -0.01087129, -0.0233218, -0.01434632, 0.002965088, -0.01710195, -0.01537636, -0.009464649, -0.01706333, 0.01168783, -0.01116966, -0.009127246, -0.01128013
12.395288, -0.005976274, -0.01818731, -0.0112954, 0.003995434, -0.01563625, -0.01227507, -0.01204891, -0.01862255, 0.01479292, -0.008736163, -0.009038299, -0.01444979
12.49525, -0.008652583, -0.01708295, -0.0113342, 0.002558971, -0.01427764, -0.01930519, -0.01123936, -0.01522471, 0.009934454, -0.01122217, -0.003172867, -0.008344134
12.595212, -0.002289549, -0.02119546, -0.007663978, 0.00627338, -0.01526445, -0.01585843, -0.01675411, -0.0198787, 0.006106826, -0.01039151, -0.002207808, -0.00906569
12.695174, -0.007052186, -0.01826179, -0.0007413709, 0.006561943, -0.0114647, -0.01687711, -0.01489101, -0.01950778, 0.005592597, -0.008704877, -0.005070146, -0.009457403
12.795136, -0.006867459, -0.0152246, -0.005017241, 0.006384859, -0.008581383, -0.01123863, -0.009726455, -0.02092832, 0.005421324, -0.00635276, -0.007152342, -0.01182631
12.895098, -0.007899866, -0.01493846, -0.004532679, 0.007643105, -0.0134448, -0.01494054, -0.01476974, -0.01971478, 0.002455203, -0.007279248, -0.009622444, -0.01171522
12.99506, -0.006659443, -0.01577609, -0.01244942, 0.003379733, -0.01591174, -0.01390155, -0.01080842, -0.02064183, 0.005404092, -0.008484685, -0.01124969, -0.01316357
13.095022, -0.005864382, -0.02061273, -0.01386498, 0.001493681, -0.01645715, -0.01490241, -0.01250739, -0.01963, 0.005810146, -0.009328494, -0.01152423, -0.01353377
13.194984, -0.007732836, -0.0177863, -0.0007752391, 0.007967302, -0.01150288, -0.01647072, -0.01134936, -0.01735414, -0.001817047, -0.007801499, -0.006792186, -0.009193363
13.294946, -0.003911559, -0.01849077, 0.003025238, 0.01043751, -0.01058921, -0.02198404, -0.008512192, -0.02379024, -0.004825413, -0.00639928, -0.005705149, -0.009490705
13.394908, -0.007143658, -0.01556782, -0.001486274, 0.01031402, -0.01604063, -0.01969946, -0.01308823, -0.01987978, -0.006728507, -0.008734905, -0.006972249, -0.01024647
13.49487, -0.008274462, -0.02039972, -0.006866745, 0.008283667, -0.0152412, -0.01748094, -0.009890299, -0.02088453, 0.001196247, -0.007378999, -0.01136456, -0.01108741
13.594832, -0.007926401, -0.02683723, -0.01965831, -0.006281664, -0.02416577, -0.02269812, -0.006286899, -0.01710127, 0.0004651396, -0.008822926, -0.0164458, -0.01929394
13.694794, -0.009394155, -0.027126, -0.02239744, -0.0180657, -0.02974408, -0.03731858, -0.01267578, -0.02327428, -0.003843003, -0.00785093, -0.02046914, -0.02923846
13.794756, -0.01452036, -0.02932118, -0.0189269, -0.01809802, -0.03515533, -0.03792394, -0.01468014, -0.02147095, -0.009131473, -0.009813139, -0.02197785, -0.02985121
13.894718, -0.01404881, -0.02891757, -0.01953204, -0.02115493, -0.03463729, -0.04196326, -0.01433248, -0.02297859, -0.01058072, -0.01106954, -0.02126744, -0.02790633
13.99468, -0.01460117, -0.02912897, -0.02161856, -0.01877819, -0.0343995, -0.04009805, -0.01193262, -0.01853202, -0.01196035, -0.0130179, -0.02403678, -0.02994093
14.094642, -0.01048104, -0.02385691, -0.01916461, -0.006949892, -0.02676191, -0.02931664, -0.01540213, -0.0226143, -0.007251274, -0.009893771, -0.01771891, -0.01938541
14.194604, -0.007717701, -0.02532168, -0.02307062, -0.01209142, -0.02872402, -0.03420299, -0.01316416, -0.02117811, -0.009066975, -0.009968175, -0.01966539, -0.02426268
14.294566, -0.01063776, -0.02324367, -0.0173255, -0.01287349, -0.02635323, -0.03510113, -0.01335655, -0.02223523, -0.01064011, -0.01272239, -0.01775871, -0.02483717
14.394528, -0.008019901, -0.02565702, -0.02229939, -0.01210141, -0.0266242, -0.02969405, -0.01071914, -0.01844418, -0.01097431, -0.007369262, -0.01947137, -0.02499783
14.49449, -0.01015369, -0.02879658, -0.01970558, -0.01990094, -0.02871552, -0.0383689, -0.01274307, -0.0232028, -0.01453026, -0.00791053, -0.02115977, -0.03123946
14.594452, -0.01537862, -0.02871332, -0.02121561, -0.01902167, -0.03368302, -0.04020821, -0.01515938, -0.02100177, -0.0142159, -0.01106079, -0.02051052, -0.02767825
14.694414, -0.009558232, -0.02481607, -0.01967758, -0.009277893, -0.02535574, -0.03095334, -0.01520153, -0.02408695, -0.008286793, -0.01107499, -0.01610345, -0.02079777
14.794376, -0.007410517, -0.02269445, -0.01226425, 0.002681982, -0.02341585, -0.02292572, -0.0155146, -0.02164715, -0.009909736, -0.01133142, -0.01111988, -0.0133148
14.894338, -0.009466648, -0.02442954, -0.01029538, 0.004760246, -0.01645856, -0.01115627, -0.005180049, -0.02438297, -0.008094586, -0.0111778, -0.004381292, -0.01422709
